time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_type,characteristic_value,exam_cohort,level_of_study,student_count_year_1,student_count_year_2,retained,retained_and_assessed,returned_and_retained,perc_retained,perc_retained_and_assessed,perc_returned_and_retained
202021,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Autistic spectrum disorder,A level,Level 3,478,474,440,436,428,92.05,91.213,90.295
202122,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Autistic spectrum disorder,A level,Level 3,514,510,468,457,447,91.051,88.911,87.647
202223,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Autistic spectrum disorder,A level,Level 3,543,538,498,483,481,91.713,88.95,89.405
202324,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Autistic spectrum disorder,A level,Level 3,577,570,511,493,492,88.562,85.442,86.316
201920,Academic year,National,E92000001,England,Final,SEN Provision,"EHC plans and statements of SEN- Behavioral, emotional and social difficulties",A level,Level 3,0,0,z,z,z,z,z,z
202021,Academic year,National,E92000001,England,Final,SEN Provision,"EHC plans and statements of SEN- Behavioral, emotional and social difficulties",A level,Level 3,0,0,z,z,z,z,z,z
202122,Academic year,National,E92000001,England,Revised,SEN Provision,"EHC plans and statements of SEN- Behavioral, emotional and social difficulties",A level,Level 3,0,0,z,z,z,z,z,z
202223,Academic year,National,E92000001,England,Revised,SEN Provision,"EHC plans and statements of SEN- Behavioral, emotional and social difficulties",A level,Level 3,0,0,z,z,z,z,z,z
202324,Academic year,National,E92000001,England,Revised,SEN Provision,"EHC plans and statements of SEN- Behavioral, emotional and social difficulties",A level,Level 3,0,0,z,z,z,z,z,z
201920,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Hearing impairment,A level,Level 3,57,54,52,50,47,91.228,87.719,87.037
202021,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Hearing impairment,A level,Level 3,66,66,61,58,56,92.424,87.879,84.848
202122,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Hearing impairment,A level,Level 3,57,57,54,54,54,94.737,94.737,94.737
202223,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Hearing impairment,A level,Level 3,72,71,68,64,64,94.444,88.889,90.141
202324,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Hearing impairment,A level,Level 3,74,74,71,68,67,95.946,91.892,90.541
201920,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Moderate learning difficulty,A level,Level 3,18,17,16,14,14,88.889,77.778,82.353
202021,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Moderate learning difficulty,A level,Level 3,12,12,11,11,10,91.667,91.667,83.333
202122,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Moderate learning difficulty,A level,Level 3,16,16,16,16,16,100,100,100
202223,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Moderate learning difficulty,A level,Level 3,26,26,23,23,23,88.462,88.462,88.462
202324,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Moderate learning difficulty,A level,Level 3,25,25,25,24,24,100,96,96
201920,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Multi-sensory impairment,A level,Level 3,2,2,2,2,2,100,100,100
202021,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Multi-sensory impairment,A level,Level 3,4,4,4,4,4,100,100,100
202122,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Multi-sensory impairment,A level,Level 3,4,4,4,4,4,100,100,100
202223,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Multi-sensory impairment,A level,Level 3,5,5,5,5,4,100,100,80
202324,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Multi-sensory impairment,A level,Level 3,9,9,8,8,8,88.889,88.889,88.889
201920,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- No identified SEN type,A level,Level 3,0,0,z,z,z,z,z,z
202021,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- No identified SEN type,A level,Level 3,0,0,z,z,z,z,z,z
202122,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- No identified SEN type,A level,Level 3,0,0,z,z,z,z,z,z
202223,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- No identified SEN type,A level,Level 3,0,0,z,z,z,z,z,z
202324,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- No identified SEN type,A level,Level 3,0,0,z,z,z,z,z,z
201920,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Other difficulty,A level,Level 3,27,26,26,24,22,96.296,88.889,84.615
202021,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Other difficulty,A level,Level 3,27,25,23,22,20,85.185,81.481,80
202122,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Other difficulty,A level,Level 3,42,42,37,35,36,88.095,83.333,85.714
202223,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Other difficulty,A level,Level 3,45,45,43,43,43,95.556,95.556,95.556
202324,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Other difficulty,A level,Level 3,37,37,34,33,33,91.892,89.189,89.189
201920,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Physical disability,A level,Level 3,135,129,122,120,108,90.37,88.889,83.721
202021,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Physical disability,A level,Level 3,115,115,110,110,109,95.652,95.652,94.783
202122,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Physical disability,A level,Level 3,121,121,113,111,111,93.388,91.736,91.736
202223,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Physical disability,A level,Level 3,146,146,136,132,134,93.151,90.411,91.781
202324,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Physical disability,A level,Level 3,133,131,120,119,117,90.226,89.474,89.313
201920,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Profound and multiple learning difficulty,A level,Level 3,3,3,2,2,2,66.667,66.667,66.667
202021,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Profound and multiple learning difficulty,A level,Level 3,1,1,1,1,1,100,100,100
202122,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Profound and multiple learning difficulty,A level,Level 3,0,0,z,z,z,z,z,z
202223,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Profound and multiple learning difficulty,A level,Level 3,2,2,2,2,2,100,100,100
202324,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- Profound and multiple learning difficulty,A level,Level 3,1,1,1,0,1,100,0,100
201920,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- SEN support but no specialist assessment of type of need,A level,Level 3,0,0,z,z,z,z,z,z
202021,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- SEN support but no specialist assessment of type of need,A level,Level 3,0,0,z,z,z,z,z,z
202122,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- SEN support but no specialist assessment of type of need,A level,Level 3,0,0,z,z,z,z,z,z
202223,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- SEN support but no specialist assessment of type of need,A level,Level 3,0,0,z,z,z,z,z,z
202324,Academic year,National,E92000001,England,Revised,SEN Provision,EHC plans and statements of SEN- SEN support but no specialist assessment of type of need,A level,Level 3,0,0,z,z,z,z,z,z
201920,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Severe learning difficulty,A level,Level 3,7,7,7,5,4,100,71.429,57.143
